c1,c2
-2.391500282287597656e+01,1.810786628723144531e+01
3.363154983520507812e+01,1.196804428100585938e+01
3.269809341430664062e+01,1.199568557739257812e+01
2.743470001220703125e+01,1.769186401367187500e+01
3.287586593627929688e+01,1.147067165374755859e+01
3.342722702026367188e+01,1.350502586364746094e+01
3.457618713378906250e+01,1.055029964447021484e+01
3.276325225830078125e+01,1.195553302764892578e+01
3.211161804199218750e+01,1.376546764373779297e+01
3.315239334106445312e+01,1.319011020660400391e+01
3.390265655517578125e+01,1.192500686645507812e+01
3.219667053222656250e+01,1.192591476440429688e+01
2.748923110961914062e+01,1.748846244812011719e+01
2.924054908752441406e+01,1.865931510925292969e+01
3.139200210571289062e+01,1.354308509826660156e+01
2.807750892639160156e+01,1.769737625122070312e+01
3.064671134948730469e+01,1.443626117706298828e+01
3.210973358154296875e+01,1.373195743560791016e+01
3.302315521240234375e+01,1.232481479644775391e+01
3.472322082519531250e+01,1.213739871978759766e+01
2.874316215515136719e+01,1.909060478210449219e+01
2.744231986999511719e+01,1.768100547790527344e+01
3.039576148986816406e+01,1.247621059417724609e+01
3.430207443237304688e+01,1.100100421905517578e+01
3.319737625122070312e+01,1.075912857055664062e+01
3.506842422485351562e+01,1.218440437316894531e+01
2.834479904174804688e+01,1.705268478393554688e+01
-3.104616546630859375e+01,-2.639133262634277344e+01
3.024614143371582031e+01,1.223871326446533203e+01
2.934627723693847656e+01,1.866420173645019531e+01
2.620413208007812500e+01,1.658881950378417969e+01
2.730925750732421875e+01,1.769742774963378906e+01
3.575325775146484375e+01,1.325427055358886719e+01
3.232534408569335938e+01,1.186959266662597656e+01
3.050116157531738281e+01,1.308390140533447266e+01
2.907074928283691406e+01,1.862645721435546875e+01
3.458306121826171875e+01,1.283166980743408203e+01
2.365741539001464844e+01,1.702896118164062500e+01
3.137074851989746094e+01,1.406193161010742188e+01
2.876402282714843750e+01,1.638409614562988281e+01
3.169307136535644531e+01,1.317345619201660156e+01
2.910902595520019531e+01,1.745860290527343750e+01
3.668717956542968750e+01,1.318360233306884766e+01
3.749958038330078125e+01,2.408940505981445312e+01
3.302815628051757812e+01,1.223481655120849609e+01
2.926953125000000000e+01,1.710051155090332031e+01
3.563177108764648438e+01,1.261213207244873047e+01
3.534862899780273438e+01,1.136707592010498047e+01
2.937857055664062500e+01,1.899008369445800781e+01
2.806180953979492188e+01,1.333538532257080078e+01
3.455794525146484375e+01,1.289463996887207031e+01
3.057149696350097656e+01,1.494369602203369141e+01
3.417100524902343750e+01,1.190335559844970703e+01
3.130327796936035156e+01,1.410908222198486328e+01
3.513835525512695312e+01,1.235296630859375000e+01
2.878252792358398438e+01,1.909486389160156250e+01
3.279902267456054688e+01,1.148114204406738281e+01
3.057499694824218750e+01,1.380024051666259766e+01
2.720320701599121094e+00,-1.094924163818359375e+01
2.951457786560058594e+01,1.741625785827636719e+01
2.778848266601562500e+01,1.774467849731445312e+01
3.874987030029296875e+01,6.575334072113037109e+00
3.850753021240234375e+01,6.942431449890136719e+00
2.682276344299316406e+01,1.746883773803710938e+01
3.255887985229492188e+01,1.201552295684814453e+01
3.083635520935058594e+01,1.818294715881347656e+01
3.181899642944335938e+01,1.306265640258789062e+01
3.352761840820312500e+01,1.112338638305664062e+01
3.023295593261718750e+01,1.261278343200683594e+01
2.765305900573730469e+01,1.736911201477050781e+01
3.014032936096191406e+01,1.568038654327392578e+01
3.034247207641601562e+01,1.315229701995849609e+01
3.334761047363281250e+01,1.663578033447265625e+01
3.061712646484375000e+01,1.471438217163085938e+01
-2.372938156127929688e+01,3.999072313308715820e+00
2.952722740173339844e+01,1.633265686035156250e+01
3.390644836425781250e+01,1.107983970642089844e+01
2.889586639404296875e+01,1.725278091430664062e+01
2.959056282043457031e+01,1.845861434936523438e+01
3.040740585327148438e+01,1.203240871429443359e+01
3.202699661254882812e+01,1.125919437408447266e+01
3.612583160400390625e+01,1.127976608276367188e+01
2.804883384704589844e+01,1.837080574035644531e+01
-3.684284210205078125e+01,1.855189132690429688e+01
2.215741157531738281e+01,3.723313903808593750e+01
2.590211868286132812e+01,1.622242736816406250e+01
2.799204444885253906e+01,1.694729995727539062e+01
3.567472457885742188e+01,1.155072593688964844e+01
3.141488265991210938e+01,2.011211395263671875e+01
2.945957374572753906e+01,1.681010627746582031e+01
-1.220694160461425781e+01,-1.599348902702331543e+00
3.017702293395996094e+01,1.171144199371337891e+01
3.321322631835937500e+01,1.170987892150878906e+01
3.047269058227539062e+01,1.356043815612792969e+01
3.442320632934570312e+01,1.343621921539306641e+01
