c1,c2
-1.688819313049316406e+01,-8.493343353271484375e+00
3.235810089111328125e+01,-1.206964206695556641e+01
3.274592208862304688e+01,-1.080339717864990234e+01
1.871817779541015625e+01,1.711227536201477051e+00
3.293668746948242188e+01,-1.138677692413330078e+01
3.519420242309570312e+01,-7.351722717285156250e+00
3.479150009155273438e+01,-1.332721710205078125e+01
3.228560256958007812e+01,-1.196288585662841797e+01
3.254734802246093750e+01,-9.904696464538574219e+00
3.356011962890625000e+01,-1.028199768066406250e+01
3.300853729248046875e+01,-1.270313549041748047e+01
3.191690826416015625e+01,-1.069981002807617188e+01
1.861179924011230469e+01,1.370117902755737305e+00
3.309153747558593750e+01,-7.698118686676025391e+00
3.322678756713867188e+01,-8.804211616516113281e+00
1.943239021301269531e+01,1.689104557037353516e+00
3.314033889770507812e+01,-8.043790817260742188e+00
3.239868545532226562e+01,-9.981226921081542969e+00
3.331969451904296875e+01,-1.099543380737304688e+01
3.516516876220703125e+01,-1.368525600433349609e+01
3.333305358886718750e+01,-7.076905727386474609e+00
1.876634216308593750e+01,1.591013908386230469e+00
3.151083374023437500e+01,-8.914205551147460938e+00
3.394390106201171875e+01,-1.135293006896972656e+01
3.148124694824218750e+01,-9.428996086120605469e+00
3.492813873291015625e+01,-1.466728973388671875e+01
3.308535385131835938e+01,-8.036160469055175781e+00
2.141808509826660156e+01,3.549431228637695312e+01
3.072100639343261719e+01,-8.713197708129882812e+00
3.303913879394531250e+01,-7.503220558166503906e+00
2.081194496154785156e+01,1.739256978034973145e+00
1.862324333190917969e+01,1.791192650794982910e+00
3.410558319091796875e+01,-1.518723869323730469e+01
3.240979003906250000e+01,-1.070788002014160156e+01
3.205622100830078125e+01,-9.096693992614746094e+00
3.363953781127929688e+01,-6.685273647308349609e+00
3.459446334838867188e+01,-1.157881832122802734e+01
2.195845031738281250e+01,1.869700789451599121e+00
3.444133758544921875e+01,-1.056950378417968750e+01
3.357642745971679688e+01,-7.985304355621337891e+00
3.201300430297851562e+01,-9.108985900878906250e+00
3.521927261352539062e+01,-6.196929454803466797e+00
3.593589019775390625e+01,-1.114990806579589844e+01
4.375782394409179688e+01,-4.518417835235595703e+00
3.295520401000976562e+01,-1.088591384887695312e+01
3.467502212524414062e+01,-7.582462310791015625e+00
3.530743026733398438e+01,-1.246304035186767578e+01
3.518917083740234375e+01,-1.277150535583496094e+01
3.434941864013671875e+01,-6.560096263885498047e+00
2.217336082458496094e+01,3.228077173233032227e+00
3.461701583862304688e+01,-1.164744281768798828e+01
3.152541542053222656e+01,-7.159478187561035156e+00
3.339585113525390625e+01,-1.272048759460449219e+01
3.365284347534179688e+01,-8.433230400085449219e+00
3.468217468261718750e+01,-1.202890777587890625e+01
3.308295822143554688e+01,-6.941290378570556641e+00
3.284686279296875000e+01,-1.135320568084716797e+01
3.209397506713867188e+01,-8.816285133361816406e+00
4.721363067626953125e+00,2.156221628189086914e+00
3.473732376098632812e+01,-7.297945976257324219e+00
1.968024444580078125e+01,2.114885568618774414e+00
3.994126129150390625e+01,-2.192231178283691406e+01
3.581638717651367188e+01,-1.242377853393554688e+01
1.945282554626464844e+01,2.260193347930908203e+00
3.224293518066406250e+01,-1.179336547851562500e+01
3.517802810668945312e+01,-6.749127388000488281e+00
3.265603637695312500e+01,-9.748776435852050781e+00
3.309426879882812500e+01,-1.007995414733886719e+01
3.122205352783203125e+01,-8.781806945800781250e+00
1.862918090820312500e+01,1.268736600875854492e+00
3.309825515747070312e+01,-7.654494285583496094e+00
3.170770072937011719e+01,-8.650200843811035156e+00
3.655817794799804688e+01,-8.165216445922851562e+00
3.323329162597656250e+01,-8.033492088317871094e+00
-9.083136558532714844e+00,-1.148830890655517578e+01
3.467948913574218750e+01,-1.061766719818115234e+01
3.277679061889648438e+01,-1.116691875457763672e+01
3.301291275024414062e+01,-8.243626594543457031e+00
3.386071777343750000e+01,-6.248763561248779297e+00
3.041315841674804688e+01,-8.984842300415039062e+00
3.257413482666015625e+01,-1.079514026641845703e+01
3.556351089477539062e+01,-1.355503654479980469e+01
1.910644149780273438e+01,1.443819999694824219e+00
-2.783081054687500000e+01,-5.547754287719726562e+00
4.058065414428710938e+01,1.327168464660644531e+01
2.122938156127929688e+01,1.096508741378784180e+00
2.124094390869140625e+01,1.936891198158264160e+00
3.524464416503906250e+01,-1.300639247894287109e+01
3.493579864501953125e+01,-4.617799758911132812e+00
3.360345458984375000e+01,-7.416974067687988281e+00
-1.301477813720703125e+01,1.750807046890258789e+00
3.254259109497070312e+01,-1.033462238311767578e+01
3.308424377441406250e+01,-1.069934940338134766e+01
3.184288215637207031e+01,-8.656505584716796875e+00
3.479916381835937500e+01,-1.179193687438964844e+01
3.330866241455078125e+01,-7.808227062225341797e+00
3.573894882202148438e+01,-1.433559322357177734e+01
3.519607162475585938e+01,-1.285941028594970703e+01
3.509951019287109375e+01,-1.339988231658935547e+01
-3.611150979995727539e-01,-2.867112159729003906e+01
3.393430328369140625e+01,-6.683786869049072266e+00
3.151319313049316406e+01,-8.822730064392089844e+00
3.273983764648437500e+01,-8.509131431579589844e+00
5.189125061035156250e+01,-2.535614967346191406e+01
3.995123291015625000e+01,-2.193303298950195312e+01
4.467432022094726562e+01,6.096116542816162109e+00
3.523469161987304688e+01,-1.292581462860107422e+01
-1.220921993255615234e+01,-1.012006855010986328e+01
2.123190879821777344e+01,1.741156339645385742e+00
-3.876321029663085938e+01,2.324405670166015625e+01
3.441398239135742188e+01,-7.226987361907958984e+00
4.426345443725585938e+01,-1.113591003417968750e+01
3.460475921630859375e+01,-1.183662128448486328e+01
2.133265495300292969e+01,1.839758157730102539e+00
3.459266281127929688e+01,-6.879179000854492188e+00
3.657123947143554688e+01,-6.680437564849853516e+00
3.336823654174804688e+01,-3.866414070129394531e+00
1.980509376525878906e+01,1.985025048255920410e+00
3.465579605102539062e+01,-7.459186077117919922e+00
1.909390830993652344e+01,2.084260702133178711e+00
4.196421813964843750e+01,-2.096998405456542969e+01
5.023325347900390625e+01,-2.210061264038085938e+01
2.032960510253906250e+01,2.314478397369384766e+00
3.407755661010742188e+01,-8.207279205322265625e+00
2.214030647277832031e+01,4.589508056640625000e+00
-2.931463432312011719e+01,2.609433364868164062e+01
3.478466415405273438e+01,-6.988165855407714844e+00
5.176338958740234375e+01,-2.516431427001953125e+01
